Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C9",0603,5,0.1u,
"C11, C6, C7, C8",0603,4,10u,
C12,0603,1,100uF,
C13,0603,1,.1uF,
"C14, C15",C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,2,0.68uF,
"C16, C17",C_Radial_D18.0mm_H35.5mm_P7.50mm,2,4700uF,
"C18, C19, C20",0603,3,C,
C4,0603,1,10uf,
C5,0603,1,22uF,
D1,SOT-23,1,DESD2CAN2SOQ-7,
"D10, D11",D_SMA,2,SS16,
"D2, D7, D8",D_SOD-123,3,1N4148W,
D3,0603,1,TS4148C RZG,
D4,0603,1,LED,
"D5, D6",D_SOD-123,2,1N4148,
D9,D_SOD-123,1,D_Zener,
"F1, F4, F6",Fuseholder_Blade_Mini_Keystone_3568,3,2A,
"F10, F9",Fuseholder_Blade_Mini_Keystone_3568,2,1A,
F11,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open_3d,1,5A,
F12,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open_3d,1,1A,
F2,Fuseholder_Blade_Mini_Keystone_3568,1,10A,
"F3, F5",Fuseholder_Blade_Mini_Keystone_3568,2,5A,
"J1, J2",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,JST-B2B-VERT-2PIN,
J10,TE_MATE-N-LOK_1-770866-x_1x02_P4.14mm_Vertical,1,Conn_01x02,
J11,TE_1-770669-1_23pin_Horizontal,1,Conn_01x23,
"J12, J13, J8",TE_1-776266-1_14pin_Horizontal,3,Conn_01x14,
J3,Hirose_DF63R-2P-3.96DSA_1x02_P3.96mm_Vertical,1,HV+,
J4,Hirose_DF63R-2P-3.96DSA_1x02_P3.96mm_Vertical,1,HV-,
J5,Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical,1,GND,
J6,Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical,1,HV+,
J7,Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical,1,HV-,
J9,TE_1-776280-1_8pin_Horizontal,1,Conn_01x08,
K1,RELAY_T9VV1K15-12S,1,T9VV1K15-12S,
"K2, K3",Relay_DPDT_Omron_G5V-2,2,G5V-2,
K4,J1071AS3VDC,1,J107,
K5,Relay_SPDT_Omron_G5V-1,1,G5V-1,
L1,0603,1,47uH,
L2,1008,1,1uH,
L3,0805,1,0.15uH,
Q1,SOT-23,1,2N7002,
Q2,SOT-223-3_TabPin2,1,BCP53,
"Q3, Q4",TO-247-3_Vertical_GDS,2,IXFH34N65X2,
Q6,SOT-23,1,MMBT2222,
"R1, R13, R15, R18, R2, R23, R25, R26, R29, R3, R4, R8, R9",0603,13,10k,
"R10, R11",0603,2,60,
"R12, R17, R5, R6, R7",0603,5,330,
"R19, R21",0603,2,6k,
"R20, R22",0603,2,2.2k,
R24,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,39k,
R27,0603,1,15k,
"R28, R37, R38, R39",0603,4,1k,
R30,0603,1,0.15,
R31,1206,1,100,
"R32, R33",R_Axial_Power_L50.0mm_W9.0mm_P60.96mm,2,10k,
R34,0805,1,.2,
"R35, R40",2512,2,1,
R36,0603,1,300,
R41,0603,1,100,
R42,0603,1,2.4k,
R43,0603,1,240,
RV1,Potentiometer_Bourns_TC33X_Vertical,1,50k TC33x-2-503E,
U1,SOIC127P600X175-8N,1,MAX33054EASA+T,
U10,MFSOP6-4_4.4x3.6mm_P1.27mm,1,TLP184,
"U11, U12",TSOT-23-6,2,LM5050-1,
U14,TO-263-2,1,LM317_TO-263,
"U2, U3",ESP32-S3-DevKitC,2,ESP32-S3-DevKitC,
U4,LT1528CQPBF,1,LT1528CQ#PBF,
"U5, U9",SMDIP-4_W9.53mm,2,LTV-817S,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ICM7555xB,
U7,SOT-89-5,1,IS31LT3360,
U8,vicor-socket-no-cutouts,1,Vicor_AERO,
