Designator,Mid X,Mid Y,Rotation,Layer
C1,284.607,-103.378,180.0,top
C10,151.7915,-153.5965,180.0,top
C11,157.8875,-158.224,0.0,top
C12,168.838,-152.3025,90.0,top
C13,170.616,-152.3025,90.0,top
C14,91.186,-116.112,270.0,top
C15,80.01,-116.112,270.0,top
C16,181.61,-125.028,270.0,top
C17,176.6724,-107.0763,315.0,top
C18,187.3195,-87.056,180.0,bottom
C19,184.0285,-98.044,270.0,bottom
C2,284.607,-105.156,180.0,top
C20,164.338,-91.5135,90.0,bottom
C3,284.734,-91.1585,90.0,top
C4,254.6085,-91.948,180.0,bottom
C5,254.3545,-106.68,180.0,bottom
C6,222.512,-84.784,270.0,bottom
C7,241.808,-79.6025,270.0,bottom
C8,210.702,-80.466,270.0,top
C9,157.8875,-160.05,0.0,top
D1,284.848,-87.502,90.0,top
D10,185.81,-77.3965,0.0,top
D11,172.974,-98.044,180.0,top
D2,204.4486,-124.0586,0.0,bottom
D3,248.158,-97.79,270.0,bottom
D4,249.0112,-106.7835,0.0,bottom
D5,198.12,-142.7005,270.0,top
D6,198.12,-154.686,90.0,top
D7,228.354,-88.848,0.0,bottom
D8,245.11,-88.011,0.0,top
D9,164.52,-147.2225,180.0,top
F1,223.062,-114.15,0.0,top
F10,189.738,-154.418,270.0,top
F11,67.236,-107.644,0.0,top
F12,67.49,-139.648,0.0,top
F2,195.368,-91.776,90.0,top
F3,204.3893,-91.776,90.0,top
F4,213.4106,-91.776,90.0,top
F5,223.266,-98.324,0.0,top
F6,223.266,-106.198,0.0,top
F9,181.356,-154.418,270.0,top
J1,226.568,-144.018,90.0,top
J10,286.982,-82.168,270.0,top
J11,262.446,-175.5685,0.0,top
J12,277.854,-68.826,180.0,top
J13,220.472,-179.334,0.0,top
J2,226.704,-156.2035,90.0,top
J3,68.58,-93.016,270.0,top
J4,68.834,-150.57,270.0,top
J5,152.146,-70.358,90.0,top
J6,125.222,-93.42,180.0,top
J7,127.0,-174.954,0.0,top
J8,205.21,-68.2425,180.0,top
J9,173.99,-179.122,0.0,top
K1,203.9406,-111.8881,0.0,top
K2,202.7245,-146.7645,90.0,top
K3,202.574,-158.4485,90.0,top
K4,231.358,-83.4835,270.0,top
K5,244.484,-84.784,180.0,top
L1,164.774,-144.9365,0.0,top
L2,97.536,-101.4015,270.0,top
L3,181.102,-121.8465,90.0,bottom
Q1,297.3555,-129.225,180.0,bottom
Q2,162.052,-157.1525,180.0,bottom
Q3,175.28,-82.244,0.0,top
Q4,175.418,-91.388,0.0,top
Q6,168.7345,-86.142,0.0,bottom
R1,253.111,-139.192,270.0,bottom
R10,282.9195,-93.726,0.0,top
R11,286.5225,-93.726,0.0,top
R12,268.478,-109.347,90.0,bottom
R13,265.938,-109.347,90.0,bottom
R15,294.0229,-129.479,90.0,bottom
R17,248.158,-103.9895,270.0,bottom
R18,218.233,-144.496,0.0,bottom
R19,208.9385,-144.526,0.0,bottom
R2,255.7357,-139.192,270.0,bottom
R20,205.1285,-144.496,0.0,bottom
R21,217.932,-156.21,0.0,bottom
R22,214.376,-156.24,0.0,bottom
R23,209.296,-156.21,0.0,bottom
R24,83.566,-152.094,0.0,top
R25,146.812,-157.049,90.0,top
R26,156.972,-155.478,90.0,top
R27,153.0115,-161.4705,0.0,top
R28,159.4085,-161.7245,0.0,bottom
R29,163.322,-158.319,90.0,top
R3,258.3603,-139.192,270.0,bottom
R30,172.648,-153.8265,270.0,top
R31,156.21,-158.9305,90.0,bottom
R32,66.04,-83.514,0.0,top
R33,66.294,-163.524,0.0,top
R34,161.29,-79.726,0.0,bottom
R35,101.092,-101.294,90.0,top
R36,101.092,-121.614,0.0,bottom
R37,128.6885,-129.996,0.0,bottom
R38,146.9155,-120.65,0.0,bottom
R39,150.876,-120.589,0.0,bottom
R4,260.985,-139.192,270.0,bottom
R40,187.198,-121.3405,270.0,bottom
R41,171.45,-86.076,270.0,bottom
R42,164.338,-87.854,90.0,bottom
R43,164.338,-84.1475,90.0,bottom
R5,281.305,-130.7865,270.0,bottom
R6,283.845,-130.7865,270.0,bottom
R7,286.385,-130.7865,270.0,bottom
R8,291.338,-139.827,270.0,bottom
R9,284.734,-110.109,0.0,top
RV1,95.758,-126.694,90.0,bottom
U1,284.607,-98.7299,90.0,top
U10,134.681,-128.726,180.0,bottom
U11,182.626,-86.868,90.0,bottom
U12,180.34,-98.044,90.0,bottom
U14,152.811,-88.138,0.0,bottom
U2,245.618,-135.89,90.0,top
U3,245.618,-167.132,90.0,top
U4,257.429,-99.314,90.0,bottom
U5,134.681,-154.634,180.0,bottom
U6,151.892,-157.4065,0.0,top
U7,164.52,-152.8105,0.0,top
U8,104.1691,-112.7219,0.0,top
U9,134.681,-121.868,0.0,bottom
