Designator,Mid X,Mid Y,Rotation,Layer
C1,284.607,-103.378,180.0,top
C10,151.7915,-153.5965,180.0,top
C11,157.8875,-158.224,0.0,top
C12,168.838,-152.3025,90.0,top
C13,170.616,-152.3025,90.0,top
C14,91.186,-123.612,270.0,top
C15,80.01,-123.612,270.0,top
C16,181.61,-128.778,270.0,top
C17,179.32405,-109.72795,315.0,top
C18,187.3195,-87.056,180.0,bottom
C19,184.0285,-98.044,270.0,bottom
C2,284.607,-105.156,180.0,top
C20,164.338,-91.5135,90.0,bottom
C3,284.734,-91.1585,90.0,top
C4,254.6085,-91.948,180.0,bottom
C5,254.3545,-106.68,180.0,bottom
C6,222.512,-84.784,270.0,bottom
C7,241.808,-79.6025,270.0,bottom
C8,210.702,-80.466,270.0,top
C9,157.8875,-160.05,0.0,top
D1,284.848,-87.502,270.0,top
D10,185.81,-77.3965,0.0,top
D11,172.974,-98.044,180.0,top
D2,204.4486,-124.0586,0.0,bottom
D3,248.158,-97.79,270.0,bottom
D4,249.0112,-106.7835,0.0,bottom
D5,198.12,-142.7005,270.0,top
D6,198.12,-154.686,90.0,top
D7,228.354,-88.848,0.0,bottom
D8,245.11,-88.011,0.0,top
D9,164.52,-147.2225,180.0,top
F1,228.022,-115.85,0.0,top
F10,188.038,-159.378,270.0,top
F11,78.486,-107.644,0.0,top
F12,78.74,-139.648,0.0,top
F2,197.068,-86.816,90.0,top
F3,206.0893,-86.816,90.0,top
F4,215.1106,-86.816,90.0,top
F5,228.226,-100.024,0.0,top
F6,228.226,-107.898,0.0,top
F7,228.092,-124.206,0.0,top
F9,179.656,-159.378,270.0,top
J1,227.368,-143.443,90.0,top
J10,282.557,-82.168,270.0,top
J11,276.446,-179.5685,0.0,top
J12,277.854,-68.826,180.0,top
J13,220.5,-178.5,0.0,top
J15,169.819,-67.818,270.0,top
J2,227.504,-155.6285,90.0,top
J3,67.255,-95.531,270.0,top
J4,67.509,-153.085,270.0,top
J5,155.809,-168.199,90.0,top
J6,125.757,-92.095,180.0,top
J7,126.465,-176.279,0.0,top
J8,205.21,-68.2425,180.0,top
J9,173.99,-178.622,0.0,top
K1,204.7356,-115.8556,0.0,top
K2,211.6145,-142.9545,90.0,top
K3,211.464,-154.6385,90.0,top
K4,228.634,-85.3585,270.0,top
K5,241.944,-79.704,180.0,top
L1,164.774,-144.9365,0.0,top
L2,97.536,-101.4015,270.0,top
L3,181.102,-121.8465,90.0,bottom
Q1,297.3555,-129.225,0.0,bottom
Q2,162.052,-157.1525,0.0,bottom
Q3,180.73,-82.244,0.0,top
Q4,180.868,-91.388,0.0,top
Q6,168.7345,-86.142,180.0,bottom
R1,253.111,-139.192,270.0,bottom
R10,282.9195,-93.726,0.0,top
R11,286.5225,-93.726,0.0,top
R12,268.478,-109.347,90.0,bottom
R13,265.938,-109.347,90.0,bottom
R15,294.0229,-129.479,90.0,bottom
R17,248.158,-103.9895,270.0,bottom
R18,218.233,-144.496,0.0,bottom
R19,208.9385,-144.526,0.0,bottom
R2,255.7357,-139.192,270.0,bottom
R20,205.1285,-144.496,0.0,bottom
R21,217.932,-156.21,0.0,bottom
R22,214.376,-156.24,0.0,bottom
R23,209.296,-156.21,0.0,bottom
R24,91.186,-152.094,0.0,top
R25,146.812,-157.049,90.0,top
R26,156.972,-155.478,90.0,top
R27,153.0115,-161.4705,0.0,top
R28,159.4085,-161.7245,0.0,bottom
R29,163.322,-158.319,90.0,top
R3,258.3603,-139.192,270.0,bottom
R30,172.648,-153.8265,270.0,top
R31,156.21,-158.9305,90.0,bottom
R32,98.4,-81.25,180.0,top
R33,91.65,-172.25,0.0,top
R34,161.29,-79.726,0.0,bottom
R35,101.092,-101.294,90.0,top
R36,101.092,-121.614,0.0,bottom
R37,128.6885,-129.996,0.0,bottom
R38,146.9155,-120.65,0.0,bottom
R39,150.876,-120.589,0.0,bottom
R4,260.985,-139.192,270.0,bottom
R40,187.198,-121.3405,270.0,bottom
R41,171.45,-86.076,270.0,bottom
R42,164.338,-87.854,90.0,bottom
R43,164.338,-84.1475,90.0,bottom
R5,281.305,-130.7865,270.0,bottom
R6,283.845,-130.7865,270.0,bottom
R7,286.385,-130.7865,270.0,bottom
R8,291.338,-139.827,270.0,bottom
R9,284.734,-110.109,0.0,top
RV1,95.758,-126.694,90.0,bottom
U1,284.607,-98.7299,90.0,top
U10,134.681,-128.726,180.0,bottom
U11,182.626,-86.868,270.0,bottom
U12,180.34,-98.044,270.0,bottom
U14,152.811,-88.138,0.0,bottom
U2,272.288,-124.46184,90.0,top
U3,272.288,-155.70384,90.0,top
U4,257.429,-99.314,90.0,bottom
U5,134.681,-154.634,180.0,bottom
U6,151.892,-157.4065,270.0,top
U7,164.52,-152.8105,180.0,top
U8,134.5221,-124.8504,0.0,top
U9,134.681,-121.868,0.0,bottom
